,text,label,data_origin
0,"We analyze the relationship between climate change and crop yields in Africa, using data from the World Bank's Living Standards Measurement Study — Integrated Surveys on Agriculture (LSMS-ISA) and the Climate Hazards Group InfraRed Precipitation with Station data (CHIRPS).",1,GPT-generated data (old)
1,"Using a dataset from the World Trade Organization on bilateral trade flow and applied tariff data for 75 countries over 30 years, we investigate the impact of non-tariff measures (NTMs) on trade flows.",1,GPT-generated data (old)
2,"This study examines the impact of school-based management interventions on primary school student learning outcomes, using data from the Philippine Informal Reading Inventory (Phil-IRI) and the National Achievement Test (NAT).",1,GPT-generated data (old)
3,"We explore the impact of electricity access on household welfare using data from the Demographic and Health Survey (DHS) and the World Bank's Living Standards Measurement Study (LSMS), both conducted in Nigeria.",1,GPT-generated data (old)
4,"To investigate the relationship between social protection programs and job quality in emerging economies, we use a panel dataset of labor force surveys from seven countries, namely Colombia, Mexico, Peru, Brazil, South Africa, Turkey, and India.",1,GPT-generated data (old)
5,We analyze the effect of remittance on rural households' income and consumption in Nepal using data from the Nepal Living Standards Survey (NLSS) and the National Sample Census of Agriculture (NSCA).,1,GPT-generated data (old)
6,"This paper examines the impact of infrastructure development on tourism demand using a panel dataset on 129 developing countries, taken from the World Bank's Infrastructure Database and the United Nations World Tourism Organization.",1,GPT-generated data (old)
7,"To investigate the effect of financial sector development on economic growth in Africa, we use a panel dataset that includes indicators such as private sector credit to GDP ratio, stock market capitalization, and interest rate spread from the World Bank's Financial Sector Development Indicators and the International Monetary Fund's African Economic Outlook.",1,GPT-generated data (old)
8,We examine the role of governance and institutions in shaping forest cover change in Indonesia using district-level panel data from the Indonesian Ministry of Forestry and the World Bank Forests database.,1,GPT-generated data (old)
9,This study analyzes the relationship between socio-economic characteristics and health outcomes in Bangladesh using data from two waves of the Bangladesh Demographic and Health Survey (BDHS).,1,GPT-generated data (old)
10,This report employs the World Bank's Enterprise Surveys data to examine the relationship between firms' exporting activities and financial constraints in Central Asia.,1,GPT-generated data (old)
11,The study investigates the implementation of public-private partnerships (PPPs) using data from the National Public Private Partnership Unit (N3PU) in Uganda.,1,GPT-generated data (old)
12,"Using the Demographic and Health Survey dataset, this paper examines the factors affecting maternal health-seeking behaviors in low-income countries.",1,GPT-generated data (old)
13,"In this study, we analyze the effects of trade agreements by utilizing a matched firm-level dataset of Brazilian exporters called Comex Stat.",1,GPT-generated data (old)
14,This research paper constructs a novel dataset from household survey data merged with local climatic information measured at higher spatial resolution for sub-Saharan Africa.,1,GPT-generated data (old)
15,This article uses data on government procurement contracts provided by the Mexican Compranet to investigate the impact of institutional corruption on public contracting outcomes.,1,GPT-generated data (old)
16,We combine satellite observations from the Landsat program with socioeconomic data drawn from the Global Rural-Urban Mapping Project (GRUMP) to assess the impacts of urbanization on agricultural land conversion in India.,1,GPT-generated data (old)
17,This research leverages a unique dataset of mobile phone metadata provided by the Telecommunications Regulatory Authority (TRA) of Bahrain to examine the travel patterns of individuals during religious pilgrimage.,1,GPT-generated data (old)
18,"To understand the impact of natural disasters on household welfare, we use data from the Indonesia Family Life Survey (IFLS), combined with district-level climate data derived from the Climate Research Unit at the University of East Anglia.",1,GPT-generated data (old)
